iterations,test-TotalF1-mean,test-TotalF1-std,train-TotalF1-mean,train-TotalF1-std,test-MultiClass-mean,test-MultiClass-std,train-MultiClass-mean,train-MultiClass-std,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std
15,0.35748605805641803,0.030892666893197637,0.4044756435551136,0.019123522946434508,1.1003043918594337,0.01034912384724474,1.0707472592744665,0.003862647683505779,,,,
16,0.34479462761551066,0.034545520296735,0.4072102971462733,0.016413012197556528,1.10112174626494,0.011640903621845397,1.069487379763144,0.00395962376171987,,,,
17,0.33908685622071727,0.034987649280319555,0.4072071260207652,0.011695282562700186,1.1023863538970349,0.01290307652064371,1.0691092596189766,0.004186588727386802,,,,
18,0.3451345213108124,0.030101947010845922,0.4082150186983278,0.011905037173671487,1.101190740964937,0.01239202357633101,1.066965718941527,0.00383484984368059,,,,
19,0.3440191529326816,0.029858922688727238,0.40992307769438663,0.012660929813256042,1.102815408341735,0.011738069655567916,1.0655863729395079,0.003666773293810761,,,,
20,0.3464665067239803,0.03219674406425844,0.41288986483667944,0.019226953205316085,1.1040649516731784,0.011949470107372353,1.0645443780405697,0.0035019944545661005,,,,
21,0.3517331519558633,0.037852245970008754,0.414370433403562,0.013729927882592148,1.1051446512116962,0.011975259045207975,1.0629594359303343,0.003567447489656487,,,,
22,0.3552148658517329,0.045963067207326326,0.4255407558198834,0.013272699492185954,1.1051239433633673,0.011361232820059103,1.0616487690298506,0.003261109934233477,,,,
23,0.35413414740085225,0.04945469273896899,0.42422746048882265,0.013598580724089513,1.1059035084915432,0.011862400809861767,1.0610233202336126,0.0033344520933920254,,,,
24,0.35109786650650154,0.05028226070773839,0.4276268754206587,0.01307674617171302,1.106931162410287,0.013086342324542354,1.0596142387486756,0.003574670140388781,,,,
25,0.35964642726089124,0.04595519862468342,0.43120946136193555,0.011845079506505382,1.1070697189590883,0.013570443760410677,1.0581692083992134,0.003973251752770049,,,,
26,0.35500947082382217,0.04552401119724614,0.43610010904787916,0.01528183746813771,1.1065136902214536,0.013028126627794059,1.0554160885589157,0.004317272998679493,,,,
27,0.3639981965892487,0.043612539929691316,0.4355195116595952,0.01751256107934874,1.1071240632036716,0.013384954244840916,1.0544925139432264,0.004786840347008429,,,,
28,0.3561243740060986,0.02270299202931071,0.4382220799463322,0.013297812054460694,1.1064389495152862,0.013677130776015031,1.0522637958993608,0.005439168185319384,,,,
29,0.3568561767944605,0.02217331409569923,0.4405401806922832,0.018049835745268788,1.1072140850643712,0.013858371836769105,1.0511478210985636,0.005420180874526137,,,,
